,國文,英文,數學,社會,自然
0,14,8,9,13,12
1,13,10,8,9,13
2,12,6,15,6,11
3,11,15,14,14,7
4,9,6,13,7,6
5,6,15,12,8,12
6,11,15,14,15,9
7,15,8,14,7,8
8,8,11,12,15,13
9,8,6,9,8,13
10,8,12,12,6,7
11,15,15,9,10,11
12,13,8,12,6,12
13,7,14,11,9,13
14,8,13,9,10,6
15,12,6,13,13,10
16,15,15,8,12,11
17,15,10,8,6,9
18,12,12,15,10,9
19,10,15,13,14,7
20,6,11,13,6,14
21,7,11,13,9,13
22,12,7,8,7,9
23,14,10,14,6,9
24,6,7,14,8,8
25,10,6,11,7,7
26,10,15,14,13,7
27,7,13,11,13,8
28,12,14,12,7,10
29,7,11,13,7,14
30,9,13,11,7,13
31,7,11,9,9,10
32,12,7,13,15,12
33,15,15,12,15,15
34,8,8,13,9,12
35,13,6,7,15,11
36,10,10,15,11,10
37,11,7,13,8,8
38,11,6,9,6,15
39,10,9,12,9,9
40,14,9,11,15,7
41,14,14,10,7,9
42,7,14,9,12,13
43,14,7,15,8,13
44,6,14,9,8,15
45,7,8,8,12,6
46,6,8,6,7,11
47,12,11,9,14,7
48,9,7,12,8,15
49,12,14,9,11,6
50,11,14,13,13,14
51,6,14,8,8,7
52,8,6,13,6,15
53,13,7,9,14,12
54,10,7,9,15,7
55,14,13,10,9,11
56,11,13,13,11,10
57,14,15,12,15,14
58,11,8,14,13,12
59,8,13,14,10,6
60,13,15,9,10,6
61,10,11,15,6,7
62,10,6,7,12,8
63,8,6,10,9,14
64,12,12,10,14,13
65,7,13,8,8,14
66,11,9,7,13,14
67,8,11,6,9,8
68,6,15,15,10,13
69,15,9,9,12,7
70,11,15,10,12,15
71,14,15,11,6,8
72,10,11,14,9,15
73,9,7,15,7,8
74,11,13,14,12,8
75,7,13,15,9,7
76,13,6,13,14,8
77,15,11,14,8,9
78,9,11,6,14,8
79,13,10,11,15,9
80,9,15,13,7,15
81,6,11,13,9,15
82,6,10,6,6,14
83,13,7,11,10,10
84,15,10,12,10,15
85,10,14,10,13,11
86,12,12,6,9,14
87,15,10,10,12,12
88,8,14,6,13,11
89,15,11,14,14,6
90,9,14,14,6,12
91,6,13,10,14,6
92,8,12,15,15,15
93,8,9,15,15,6
94,15,13,10,15,9
95,9,13,13,13,6
96,15,6,15,12,10
97,13,15,12,6,11
98,11,15,7,6,8
99,10,8,13,8,12
